Int. No,Location,Date,Signal ID,GOMS,Audio Tactile,GMP,Right Turn Green Arrow,Left Turn Green Arrow,Special Facility,Preemption,Pedestrian Walking Speed,RED/YELLOW,LATE START,MINIMUM GREEN,INCREMENT,MAX. V. I. G.,MAX. EXT. GREEN,EARLY CUT-OFF,AMBER,ALL RED,SPECIAL ALL RED,phase_sequence,lat,lon
101,Keppel Rd / Shenton Way / ECP,24 / 11 / 2015,355,,No,No,No,No,No,No,1.2,"{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '10', 'B': '7', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '37', 'B': '25', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': '3', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': '4', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","Y- MASTER, Y+ FLEXI, Z- FLEXI, Z- MASTER",1.2726527584503369,103.84552967602556
106,Tanjong Pagar / Lim Teck Kim Rd / Bernam St,06 / 06 / 2023,843,20230512-0321,No,No,No,No,No,No,1.0,"{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '10', 'B': '7', 'C': '7', 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '40', 'B': '26', 'C': '30', 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': '3', 'C': '3', 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '6', 'B': '6', 'C': '6', 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '2', 'B': '3', 'C': '3', 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","Y- MASTER, Y+ FLEXI",1.2735119151648826,103.84321145788309
16534,West Coast Highway / Pandan Crescent,05 / 05 / 2023,2557,20230421-0246,No,No,No,No,No,No,1.0,"{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': '0.3', 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '20', 'B': '7', 'C': '7', 'D': '7', 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '40', 'B': '25', 'C': '35', 'D': '15', 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': '3', 'C': '3', 'D': '3', 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '6', 'B': '6', 'C': '6', 'D': '6', 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '2', 'B': '3', 'C': '3', 'D': '5', 'E': None, 'F': None, 'G': None, 'H': None}","Y- MASTER, Y+ FLEXI",1.302378241327224,103.7618482605504
14264,Cashew Rd PC Near Bukit Panjang Pri School,19 / 08 / 2022,342,,Yes,No,No,No,Yes,No,0.8,"{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '10', 'B': '6', 'C': '14', 'D': '6'}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '32', 'B': None, 'C': '0', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '3', 'B': '3', 'C': '3', 'D': '3'}","{'A': '3', 'B': None, 'C': '3', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","Y- MASTER, Y+ FLEXI",1.3729550066378904,103.76931334225058
9241,Ang Mo Kio Ave 4 PC Blk 631,29 / 04 / 2021,529,,Yes,Yes,No,No,Yes,No,1.0,"{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '10', 'B': '6', 'C': '5', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '37', 'B': None, 'C': '0', 'D': None}","{'A': '3', 'B': None, 'C': None, 'D': None}","{'A': '3', 'B': '3', 'C': '3', 'D': None}","{'A': '3', 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","Y- MASTER, Y+ FLEXI",1.3795577191745036,103.83982425448718
17304,Pasir Ris Dr 1 PC near Town Park,19 / 09 / 2022,1748,,Yes,No,No,No,Yes,No,0.8,"{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '14', 'B': '6', 'C': '14', 'D': '6'}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '37', 'B': None, 'C': '0', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '3', 'B': '3', 'C': '3', 'D': '3'}","{'A': '3', 'B': None, 'C': '3', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","Y- MASTER, Y+ FLEXI",1.36927206035674,103.95380776158258
9361,Ang Mo Kio Ave 10 PC near Blk 532,26 / 10 / 2016,840,,Yes,Yes,No,No,Yes,No,1.0,"{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '10', 'B': '6', 'C': '14', 'D': '6'}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '47', 'B': None, 'C': '0', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '3', 'B': '3', 'C': '3', 'D': '3'}","{'A': '3', 'B': None, 'C': '3', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","Y- MASTER, Y+ FLEXI",1.373742563468393,103.85540547362066
4138,Clementi Ave 3 PC near Blk 453,28 / 04 / 2020,2653,,Yes,No,No,No,Yes,No,0.8,"{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '20', 'B': '6', 'C': '14', 'D': '6'}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '32', 'B': None, 'C': '0', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","{'A': '3', 'B': '3', 'C': '3', 'D': '3'}","{'A': '3', 'B': None, 'C': '3', 'D': None}","{'A': None, 'B': None, 'C': None, 'D': None}","Y- MASTER, Y+ FLEXI",1.3119374726915487,103.76554102491365
1120,Sembawang Rd PC Near Jln Ulu Sembawang,21 / 08 / 2022,2267,,Yes,No,No,No,Yes,No,0.8,"{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '10', 'B': '6', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '42', 'B': '0', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': '3', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","Y- MASTER, Y+ FLEXI",1.437780667927275,103.82544687478892
15507,Punggol Field PC near Blk 201A,19 / 08 / 2022,2217,,Yes,Yes,No,No,Yes,No,1.0,"{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '20', 'B': '6', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '30', 'B': '0', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': '3', 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': '3', 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","{'A': None, 'B': None, 'C': None, 'D': None, 'E': None, 'F': None, 'G': None, 'H': None}","Y- MASTER, Y+ FLEXI",0.0,0.0
