FID,Site_ID,Ident,Ident_Len,Juction_Desc,OBU_Displa,Char_Count,Is_PC,Traffic_Light.Junction_X,Traffic_Light.Junction_Y
0,101,*0355 KEPPEL RD/SHENTON WY/ECP,30,Keppel Rd/Shenton Wy/ECP,KEPPEL RD/SHENTON WY/ECP,24,FALSE,29359,28349
1,102,*#0056 KEPPEL RD/ANSON RD,25,Keppel Rd/Anson Rd,KEPPEL RD/ANSON RD,18,FALSE,29169,28337
2,103,*#0161 KEPPEL RD/CANTONMENT RD,30,Keppel Rd/Cantonment Rd,KEPPEL RD/CANTONMENT RD,23,FALSE,28955,28347
3,104,*#0356 KEPPEL RD/CANTONMENT LK,30,Keppel Rd/Cantonment Lk,KEPPEL RD/CANTONMENT LK,23,FALSE,28735,28340
4,105,0160 CANTONMENT RD/HOE CHIANG RD/YAN KIT RD,43,Cantonment Rd/Hoe Chiang Rd/Yan Kit Rd,CANTONMENT RD/HOE CHIANG RD/YAN KIT RD,38,FALSE,28897,28504
5,106,0843 TANJONG PAGAR/LIM TECK KIM RD/BERNAM,41,Tg Pagar/Lim Teck Kim Rd/Bernam,TANJONG PAGAR/LIM TECK KIM RD/BERNAM,36,FALSE,29101,28444
6,107,0245 TANJONG PAGAR/HOE CHIANG RD/ENGGOR ST,42,Tg Pagar/Hoe Chiang Rd/Enggor St,TANJONG PAGAR/HOE CHIANG RD/ENGGOR ST,37,FALSE,29094,28509
8,110,2803 ANSON RD/GOPENG ST,23,Anson Rd/Gopeng St,ANSON RD/GOPENG ST,18,FALSE,29395,28609
9,111,0842 ANSON RD/BERNAM ST,23,Anson Rd/Bernam St,ANSON RD/BERNAM ST,18,FALSE,29259,28448
10,112,0055 ANSON RD/PALMER RD/ENGGOR ST,33,Anson Rd/Palmer Rd/Enggor St,ANSON RD/PALMER RD/ENGGOR ST,28,FALSE,29325,28527
11,113,0058 ANSON RD/PRINCE EDWARD RD,30,Anson Rd/Prince Edward Rd,ANSON RD/PRINCE EDWARD RD,25,FALSE,29470,28697
12,114,0054 ANSON RD/CECIL ST/ROBINSON RD/MAXWELL RD,45,Anson Rd/Cecil St/Maxwell Rd,ANSON RD/CECIL ST/ROBINSON RD/MAXWELL RD,40,FALSE,29554,28792
13,115,0169 CECIL ST/MCCALLUM ST,25,Cecil St/Mccallum St,CECIL ST/MCCALLUM ST,20,FALSE,29640,29078
14,116,0130 CECIL ST/BOON TAT ST,25,Cecil St/Boon Tat St,CECIL ST/BOON TAT ST,20,FALSE,29754,29254
15,117,*#0168 CECIL ST/CROSS ST,24,Cecil St/Cross St,CECIL ST/CROSS ST,17,FALSE,29802,29345
16,118,*#0167 CECIL ST/CHURCH ST,25,Cecil St/Church St,CECIL ST/CHURCH ST,18,FALSE,29895,29455
17,119,*#0223 CROSS ST/TELOK AYER ST,29,Cross St/Telok Ayer St,CROSS ST/TELOK AYER ST,22,FALSE,29688,29408
18,121,0373 ROBINSON RD/MCCALLUM ST,28,Robinson Rd/Mccallum St,ROBINSON RD/MCCALLUM ST,23,FALSE,29722,29031
19,122,0131 ROBINSON RD/BOON TAT ST,28,Robinson Rd/Boon Tat St,ROBINSON RD/BOON TAT ST,23,FALSE,29832,29209
20,123,*#0221 ROBINSON RD/CROSS ST,27,Robinson Rd/Cross St,ROBINSON RD/CROSS ST,20,FALSE,29892,29294
21,124,*#0170 CECIL ST/ROBINSON RD/COLLYER QY,38,Cecil St/Robinson Rd/Collyer Qy,CECIL ST/ROBINSON RD/COLLYER QY,31,FALSE,29998,29448
23,126,*#0184 CHULIA ST/MARKET ST,26,Chulia St/Market St,CHULIA ST/MARKET ST,19,FALSE,29904,29719
28,131,*#0253 FINLAYSON GREEN/RAFFLES QY/MARINA BLVD,45,Finlayson Green/Raffles Qy/Marina Blvd,FINLAYSON GREEN/RAFFLES QY/MARINA BLVD,38,FALSE,30076,29405
29,132,*#0564 RAFFLES QY/ CROSS ST,27,Raffles Qy/ Cross St,RAFFLES QY/ CROSS ST,20,FALSE,29977,29247
30,133,0132 SHENTON WY/BOON TAT ST/RAFFLES QY,38,Shenton Wy/Boon Tat St/Raffles Qy,SHENTON WY/BOON TAT ST/RAFFLES QY,33,FALSE,29919,29157
32,135,0383 MAXWELL RD/SHENTON WY,26,Maxwell Rd/Shenton Wy,MAXWELL RD/SHENTON WY,21,FALSE,29650,28730
33,136,0427 SHENTON WY/PRINCE EDWARD RD,32,Shenton Wy/Prince Edward Rd,SHENTON WY/PRINCE EDWARD RD,27,FALSE,29572,28608
35,138,0900 SHENTON WY/PALMER RD,25,Shenton Wy/Palmer Rd,SHENTON WY/PALMER RD,20,FALSE,29427,28432
37,140,2900 CENTRAL BLVD/MARINA VIEW,29,Ctrl Blvd/Marina View,CENTRAL BLVD/MARINA VIEW,24,FALSE,30111,29142
38,141,2896 PARK ST/MARINA WAY,23,Park St/Marina Wy,PARK ST/MARINA WAY,18,FALSE,30209,28723
39,142,2371 STRAITS VIEW/CENTRAL BOULEVARD,35,Straits View/Ctrl Blvd,STRAITS VIEW/CENTRAL BOULEVARD,30,FALSE,30212,29075
40,143,2372 CENTRAL BOULEVARD/MARINA STATION RD/MARINA WY,50,Ctrl Blvd/Marina Station Rd/Marina Wy,CENTRAL BOULEVARD/MARINA STATION RD/MARINA WY,45,FALSE,30369,28973
41,144,2895 PARK ST/STRAITS VIEW,25,Park St/Straits View,PARK ST/STRAITS VIEW,20,FALSE,30212,29075
42,145,2894 PARK ST/MARINA VIEW,24,Park St/Marina View,PARK ST/MARINA VIEW,19,FALSE,29966,28886
43,146,2893 PARK ST/SHENTON LANE,25,Park St/Shenton Ln,PARK ST/SHENTON LANE,20,FALSE,29871,28948
44,147,2621 STRAITS VIEW/COMMERCE ST,29,Straits View/Commerce St,STRAITS VIEW/COMMERCE ST,24,FALSE,30162,29003
45,148,2523 MARINA VIEW / COMMERCE ST,30,Marina View/Commerce St,MARINA VIEW / COMMERCE ST,25,FALSE,30080,29053
46,149,2252 STRAITS BLVD/MARINA VIEW,29,Straits Blvd/Marina View,STRAITS BLVD/MARINA VIEW,24,FALSE,29804,28622
47,150,2373 MARINA BLVD/MARINA VIEW,28,Marina Blvd/Marina View,MARINA BLVD/MARINA VIEW,23,FALSE,30240,29300
48,151,2133 MARINA BOULEVARD/STRAITS VIEW,34,Marina Blvd/Straits View,MARINA BOULEVARD/STRAITS VIEW,29,FALSE,30155,29354
49,152,2134 MARINA BOULEVARD/MARINA WAY,32,Marina Blvd/Marina Wy,MARINA BOULEVARD/MARINA WAY,27,FALSE,30480,29146
50,153,2135 BAYFRONT AVE/BAYFRONT LINK,31,Bayfront Ave/Bayfront Lk,BAYFRONT AVE/BAYFRONT LINK,26,FALSE,30802,29270
51,154,2136 BAYFRONT AVE/SHEARES LINK,30,Bayfront Ave/Sheares Lk,BAYFRONT AVE/SHEARES LINK,25,FALSE,30904,29428
52,155,2051 BAYFRONT AVE/MARINA BOULEVARD,34,Bayfront Ave/Marina Blvd,BAYFRONT AVE/MARINA BOULEVARD,29,FALSE,30651,29037
53,156,2241 BAYFRONT AVE/MBSIR CP ACCESS,33,Bayfront Ave/Mbsir Cp Access,BAYFRONT AVE/MBSIR CP ACCESS,28,FALSE,31009,29594
54,157,2329 SHEARES AVE/SHEARES LK,27,Sheares Ave/Sheares Lk,SHEARES AVE/SHEARES LK,22,FALSE,31040,29342
55,158,*#2330 MARINA BLVD/SHEARES AVE,30,Marina Blvd/Sheares Ave,MARINA BLVD/SHEARES AVE,23,FALSE,30797,28942
56,159,*#2331 MARINA BLVD/MARINA GARDENS DR,36,Marina Blvd/Marina Gardens Dr,MARINA BLVD/MARINA GARDENS DR,29,FALSE,31187,28690
57,160,2784 MARINA BLVD/MARINA MALL,28,Marina Blvd/Marina Mall,MARINA BLVD/MARINA MALL,23,FALSE,30653,29039
58,162,2332 CENTRAL BLVD/MARINA GARDENS DR,35,Ctrl Blvd/Marina Gardens Dr,CENTRAL BLVD/MARINA GARDENS DR,30,FALSE,31077,28520
59,163,2333 CENTRAL BLVD/SHEARES AVE,29,Ctrl Blvd/Sheares Ave,CENTRAL BLVD/SHEARES AVE,24,FALSE,30679,28772
60,164,2334 CENTRAL BLVD/BAYFRONT AVE,30,Ctrl Blvd/Bayfront Ave,CENTRAL BLVD/BAYFRONT AVE,25,FALSE,30539,28868
61,171,2335 MARINA COASTAL DR/MARINA LK/MCE,36,Marina Coastal Dr/Marina Lk/MCE,MARINA COASTAL DR/MARINA LK/MCE,31,FALSE,31501,28491
62,172,2336 MCE/CENTRAL BLVD,21,MCE/Ctrl Blvd,MCE/CENTRAL BLVD,16,FALSE,31319,28363
64,181,2899 SHEARES AVE/PARK ST,24,Sheares Ave/Park St,SHEARES AVE/PARK ST,19,FALSE,30533,28550
65,182,3014 PARK ST/BAYFRONT AVE,25,Park St/Bayfront Ave,PARK ST/BAYFRONT AVE,20,FALSE,30379,28613
66,199,3003 TANJONG PAGAR RD/TRAS LINK,31,Tg Pagar Rd/Tras Lk,TANJONG PAGAR RD/TRAS LINK,26,FALSE,29122,28753
67,201,0204 NTH BRIDGE RD/COLEMAN ST,29,Nth Bridge Rd/Coleman St,NTH BRIDGE RD/COLEMAN ST,24,FALSE,29962,30465
68,202,0283 NTH BRIDGE RD/HIGH ST,26,Nth Bridge Rd/High St,NTH BRIDGE RD/HIGH ST,21,FALSE,29856,30288
69,203,*#0403 SOUTH BRIDGE RD/NTH CANAL RD,35,Sth Bridge Rd/Nth Canal Rd,SOUTH BRIDGE RD/NTH CANAL RD,28,FALSE,29612,29875
70,204,*#0426 SOUTH BRIDGE RD/PICKERING/UPP PICKERING,46,Sth Bridge Rd/Pickering/Upp Pickering,SOUTH BRIDGE RD/PICKERING/UPP PICKERING,39,FALSE,29543,29762
71,205,*#0222 SOUTH BRIDGE RD/CROSS/UPP CROSS ST,41,Sth Bridge Rd/Cross/Upp Cross St,SOUTH BRIDGE RD/CROSS/UPP CROSS ST,34,FALSE,29421,29563
73,207,0382 SOUTH BRIDGE RD/MAXWELL RD/NEIL RD/TG,42,Sth Bridge Rd/Maxwell Rd/Neil Rd/Tg,SOUTH BRIDGE RD/MAXWELL RD/NEIL RD/TG,37,FALSE,29199,29209
74,208,0162 CANTONMENT RD/NEIL RD,26,Cantonment Rd/Neil Rd,CANTONMENT RD/NEIL RD,21,FALSE,28794,28942
76,210,0354 KAMPONG BAHRU/NEIL RD/HOSPITAL DR,38,Kampong Bahru/Neil Rd/Hospital Dr,KAMPONG BAHRU/NEIL RD/HOSPITAL DR,33,FALSE,28412,28903
77,211,0163 CANTONMENT RD/NEW BRIDGE RD/OUTRAM RD,42,Cantonment Rd/New Bridge Rd/Outram Rd,CANTONMENT RD/NEW BRIDGE RD/OUTRAM RD,37,FALSE,28703,29140
78,212,0247 EU TONG SEN ST/PEARL'S HILL TCE/KRETA AYER,47,Eu Tong Sen St/Kreta Ayer Rd,EU TONG SEN ST/PEARL'S HILL TCE/KRETA AYER,42,FALSE,28879,29365
79,213,*#0248 EU TONG SEN ST/NEW BRIDGE RD/UPP CROSS ST,48,Eu Tong Sen St/Upp Cross St,EU TONG SEN ST/NEW BRIDGE RD/UPP CROSS ST,41,FALSE,29176,29711
80,214,*#0156 EU TONG SEN ST/NEW BRIDGE RD/HAVELOCK,44,Eu Tong Sen St/New Bridge Rd/Havelock,EU TONG SEN ST/NEW BRIDGE RD/HAVELOCK,37,FALSE,29324,29888
81,215,*#0384 EU TONG SEN ST/MERCHANT RD/NTH CANAL RD,46,Eu Tong Sen St/Merchant Rd/N Canal Rd,EU TONG SEN ST/MERCHANT RD/NTH CANAL RD,39,FALSE,29406,29982
83,217,0285 EU TONG SEN ST/HILL ST/RIVER VALLEY RD,43,Eu Tong Sen St/Hill St/River Valley Rd,EU TONG SEN ST/HILL ST/RIVER VALLEY RD,38,FALSE,29669,30278
84,218,0931 HILL ST/HIGH ST,20,Hill St/High St,HILL ST/HIGH ST,15,FALSE,29735,30384
85,219,0203 HILL ST/COLEMAN ST/CANNING RISE,36,Hill St/Coleman St/Canning Rise,HILL ST/COLEMAN ST/CANNING RISE,31,FALSE,29809,30544
86,220,0159 CANNING RISE/ARMENIAN ST/COLEMAN ST,40,Canning Rise/Armenian St/Coleman St,CANNING RISE/ARMENIAN ST/COLEMAN ST,35,FALSE,29705,30639
87,221,0157 HAVELOCK RD/NEW MARKET RD,30,Havelock Rd/New Market Rd,HAVELOCK RD/NEW MARKET RD,25,FALSE,29246,29933
88,222,0424 PEARL'S HILL TERRACE CONTROL,33,Pearl's Hill Terrace Control,PEARL'S HILL TERRACE CONTROL,28,FALSE,28833,29436
